year,state,month,cases
2022,KERALA,1,0.0
2022,KERALA,2,18.0
2022,KERALA,3,0.0
2022,KERALA,4,0.0
2022,KERALA,5,18.0
2022,KERALA,6,10.0
2022,KERALA,7,0.0
2022,KERALA,8,0.0
2022,KERALA,9,0.0
2022,KERALA,10,0.0
2022,KERALA,11,0.0
2022,KERALA,12,0.0
2022,ASSAM,1,0.0
2022,ASSAM,2,0.0
2022,ASSAM,3,0.0
2022,ASSAM,4,0.0
2022,ASSAM,5,2.0
2022,ASSAM,6,0.0
2022,ASSAM,7,6.0
2022,ASSAM,8,0.0
2022,ASSAM,9,0.0
2022,ASSAM,10,0.0
2022,ASSAM,11,0.0
2022,ASSAM,12,0.0
2022,MADHYA PRADESH,1,0.0
2022,MADHYA PRADESH,2,0.0
2022,MADHYA PRADESH,3,0.0
2022,MADHYA PRADESH,4,0.0
2022,MADHYA PRADESH,5,0.0
2022,MADHYA PRADESH,6,1.0
2022,MADHYA PRADESH,7,0.0
2022,MADHYA PRADESH,8,0.0
2022,MADHYA PRADESH,9,0.0
2022,MADHYA PRADESH,10,0.0
2022,MADHYA PRADESH,11,0.0
2022,MADHYA PRADESH,12,0.0
2022,KARNATAKA,1,0.0
2022,KARNATAKA,2,0.0
2022,KARNATAKA,3,0.0
2022,KARNATAKA,4,0.0
2022,KARNATAKA,5,0.0
2022,KARNATAKA,6,0.0
2022,KARNATAKA,7,1.0
2022,KARNATAKA,8,0.0
2022,KARNATAKA,9,2.0
2022,KARNATAKA,10,9.0
2022,KARNATAKA,11,1.0
2022,KARNATAKA,12,15.0
2022,UTTAR PRADESH,1,0.0
2022,UTTAR PRADESH,2,0.0
2022,UTTAR PRADESH,3,0.0
2022,UTTAR PRADESH,4,0.0
2022,UTTAR PRADESH,5,0.0
2022,UTTAR PRADESH,6,0.0
2022,UTTAR PRADESH,7,0.0
2022,UTTAR PRADESH,8,0.0
2022,UTTAR PRADESH,9,0.0
2022,UTTAR PRADESH,10,0.0
2022,UTTAR PRADESH,11,9.0
2022,UTTAR PRADESH,12,0.0
2022,MAHARASTRA,1,0.0
2022,MAHARASTRA,2,0.0
2022,MAHARASTRA,3,0.0
2022,MAHARASTRA,4,0.0
2022,MAHARASTRA,5,0.0
2022,MAHARASTRA,6,0.0
2022,MAHARASTRA,7,0.0
2022,MAHARASTRA,8,0.0
2022,MAHARASTRA,9,0.0
2022,MAHARASTRA,10,0.0
2022,MAHARASTRA,11,0.0
2022,MAHARASTRA,12,0.0
2022,TAMIL NADU,1,0.0
2022,TAMIL NADU,2,0.0
2022,TAMIL NADU,3,0.0
2022,TAMIL NADU,4,0.0
2022,TAMIL NADU,5,0.0
2022,TAMIL NADU,6,0.0
2022,TAMIL NADU,7,0.0
2022,TAMIL NADU,8,0.0
2022,TAMIL NADU,9,0.0
2022,TAMIL NADU,10,0.0
2022,TAMIL NADU,11,0.0
2022,TAMIL NADU,12,0.0
2022,ODISHA,1,0.0
2022,ODISHA,2,0.0
2022,ODISHA,3,0.0
2022,ODISHA,4,0.0
2022,ODISHA,5,0.0
2022,ODISHA,6,0.0
2022,ODISHA,7,0.0
2022,ODISHA,8,0.0
2022,ODISHA,9,0.0
2022,ODISHA,10,0.0
2022,ODISHA,11,0.0
2022,ODISHA,12,0.0
2022,NAGALAND,1,0.0
2022,NAGALAND,2,0.0
2022,NAGALAND,3,0.0
2022,NAGALAND,4,0.0
2022,NAGALAND,5,0.0
2022,NAGALAND,6,0.0
2022,NAGALAND,7,0.0
2022,NAGALAND,8,0.0
2022,NAGALAND,9,0.0
2022,NAGALAND,10,0.0
2022,NAGALAND,11,0.0
2022,NAGALAND,12,0.0
2023,KERALA,1,0.0
2023,KERALA,2,0.0
2023,KERALA,3,0.0
2023,KERALA,4,0.0
2023,KERALA,5,0.0
2023,KERALA,6,0.0
2023,KERALA,7,0.0
2023,KERALA,8,0.0
2023,KERALA,9,0.0
2023,KERALA,10,0.0
2023,KERALA,11,0.0
2023,KERALA,12,0.0
2023,ASSAM,1,0.0
2023,ASSAM,2,1.0
2023,ASSAM,3,0.0
2023,ASSAM,4,0.0
2023,ASSAM,5,0.0
2023,ASSAM,6,0.0
2023,ASSAM,7,8.0
2023,ASSAM,8,15.0
2023,ASSAM,9,0.0
2023,ASSAM,10,0.0
2023,ASSAM,11,0.0
2023,ASSAM,12,0.0
2023,MADHYA PRADESH,1,0.0
2023,MADHYA PRADESH,2,0.0
2023,MADHYA PRADESH,3,0.0
2023,MADHYA PRADESH,4,0.0
2023,MADHYA PRADESH,5,0.0
2023,MADHYA PRADESH,6,0.0
2023,MADHYA PRADESH,7,0.0
2023,MADHYA PRADESH,8,4.0
2023,MADHYA PRADESH,9,0.0
2023,MADHYA PRADESH,10,0.0
2023,MADHYA PRADESH,11,9.0
2023,MADHYA PRADESH,12,8.0
2023,KARNATAKA,1,0.0
2023,KARNATAKA,2,1.0
2023,KARNATAKA,3,0.0
2023,KARNATAKA,4,0.0
2023,KARNATAKA,5,1.0
2023,KARNATAKA,6,0.0
2023,KARNATAKA,7,0.0
2023,KARNATAKA,8,2.0
2023,KARNATAKA,9,11.0
2023,KARNATAKA,10,4.0
2023,KARNATAKA,11,1.0
2023,KARNATAKA,12,0.0
2023,UTTAR PRADESH,1,53.0
2023,UTTAR PRADESH,2,0.0
2023,UTTAR PRADESH,3,0.0
2023,UTTAR PRADESH,4,0.0
2023,UTTAR PRADESH,5,0.0
2023,UTTAR PRADESH,6,0.0
2023,UTTAR PRADESH,7,0.0
2023,UTTAR PRADESH,8,0.0
2023,UTTAR PRADESH,9,0.0
2023,UTTAR PRADESH,10,0.0
2023,UTTAR PRADESH,11,0.0
2023,UTTAR PRADESH,12,0.0
2023,MAHARASTRA,1,0.0
2023,MAHARASTRA,2,0.0
2023,MAHARASTRA,3,0.0
2023,MAHARASTRA,4,20.0
2023,MAHARASTRA,5,0.0
2023,MAHARASTRA,6,0.0
2023,MAHARASTRA,7,6.0
2023,MAHARASTRA,8,7.0
2023,MAHARASTRA,9,1.0
2023,MAHARASTRA,10,0.0
2023,MAHARASTRA,11,0.0
2023,MAHARASTRA,12,0.0
2023,TAMIL NADU,1,9.0
2023,TAMIL NADU,2,0.0
2023,TAMIL NADU,3,23.0
2023,TAMIL NADU,4,0.0
2023,TAMIL NADU,5,0.0
2023,TAMIL NADU,6,0.0
2023,TAMIL NADU,7,0.0
2023,TAMIL NADU,8,42.0
2023,TAMIL NADU,9,0.0
2023,TAMIL NADU,10,0.0
2023,TAMIL NADU,11,0.0
2023,TAMIL NADU,12,24.0
2023,ODISHA,1,0.0
2023,ODISHA,2,0.0
2023,ODISHA,3,0.0
2023,ODISHA,4,0.0
2023,ODISHA,5,0.0
2023,ODISHA,6,0.0
2023,ODISHA,7,0.0
2023,ODISHA,8,0.0
2023,ODISHA,9,0.0
2023,ODISHA,10,0.0
2023,ODISHA,11,0.0
2023,ODISHA,12,0.0
2023,NAGALAND,1,0.0
2023,NAGALAND,2,0.0
2023,NAGALAND,3,0.0
2023,NAGALAND,4,0.0
2023,NAGALAND,5,0.0
2023,NAGALAND,6,0.0
2023,NAGALAND,7,0.0
2023,NAGALAND,8,0.0
2023,NAGALAND,9,0.0
2023,NAGALAND,10,0.0
2023,NAGALAND,11,0.0
2023,NAGALAND,12,0.0
2024,KERALA,1,0.0
2024,KERALA,2,0.0
2024,KERALA,3,0.0
2024,KERALA,4,0.0
2024,KERALA,5,0.0
2024,KERALA,6,0.0
2024,KERALA,7,0.0
2024,KERALA,8,8.0
2024,KERALA,9,0.0
2024,KERALA,10,11.0
2024,KERALA,11,0.0
2024,KERALA,12,0.0
2024,ASSAM,1,5.0
2024,ASSAM,2,0.0
2024,ASSAM,3,0.0
2024,ASSAM,4,0.0
2024,ASSAM,5,0.0
2024,ASSAM,6,20.0
2024,ASSAM,7,0.0
2024,ASSAM,8,1.0
2024,ASSAM,9,0.0
2024,ASSAM,10,0.0
2024,ASSAM,11,0.0
2024,ASSAM,12,0.0
2024,MADHYA PRADESH,1,0.0
2024,MADHYA PRADESH,2,0.0
2024,MADHYA PRADESH,3,17.0
2024,MADHYA PRADESH,4,58.0
2024,MADHYA PRADESH,5,7.0
2024,MADHYA PRADESH,6,30.0
2024,MADHYA PRADESH,7,0.0
2024,MADHYA PRADESH,8,5.0
2024,MADHYA PRADESH,9,7.0
2024,MADHYA PRADESH,10,0.0
2024,MADHYA PRADESH,11,0.0
2024,MADHYA PRADESH,12,0.0
2024,KARNATAKA,1,0.0
2024,KARNATAKA,2,0.0
2024,KARNATAKA,3,0.0
2024,KARNATAKA,4,0.0
2024,KARNATAKA,5,0.0
2024,KARNATAKA,6,0.0
2024,KARNATAKA,7,19.0
2024,KARNATAKA,8,0.0
2024,KARNATAKA,9,0.0
2024,KARNATAKA,10,0.0
2024,KARNATAKA,11,15.0
2024,KARNATAKA,12,0.0
2024,UTTAR PRADESH,1,0.0
2024,UTTAR PRADESH,2,0.0
2024,UTTAR PRADESH,3,3.0
2024,UTTAR PRADESH,4,0.0
2024,UTTAR PRADESH,5,0.0
2024,UTTAR PRADESH,6,0.0
2024,UTTAR PRADESH,7,0.0
2024,UTTAR PRADESH,8,0.0
2024,UTTAR PRADESH,9,0.0
2024,UTTAR PRADESH,10,0.0
2024,UTTAR PRADESH,11,0.0
2024,UTTAR PRADESH,12,0.0
2024,MAHARASTRA,1,0.0
2024,MAHARASTRA,2,0.0
2024,MAHARASTRA,3,0.0
2024,MAHARASTRA,4,0.0
2024,MAHARASTRA,5,40.0
2024,MAHARASTRA,6,0.0
2024,MAHARASTRA,7,0.0
2024,MAHARASTRA,8,0.0
2024,MAHARASTRA,9,0.0
2024,MAHARASTRA,10,0.0
2024,MAHARASTRA,11,0.0
2024,MAHARASTRA,12,8.0
2024,TAMIL NADU,1,0.0
2024,TAMIL NADU,2,14.0
2024,TAMIL NADU,3,0.0
2024,TAMIL NADU,4,0.0
2024,TAMIL NADU,5,0.0
2024,TAMIL NADU,6,0.0
2024,TAMIL NADU,7,0.0
2024,TAMIL NADU,8,0.0
2024,TAMIL NADU,9,0.0
2024,TAMIL NADU,10,4.0
2024,TAMIL NADU,11,21.0
2024,TAMIL NADU,12,0.0
2024,ODISHA,1,0.0
2024,ODISHA,2,0.0
2024,ODISHA,3,0.0
2024,ODISHA,4,0.0
2024,ODISHA,5,0.0
2024,ODISHA,6,0.0
2024,ODISHA,7,0.0
2024,ODISHA,8,0.0
2024,ODISHA,9,38.0
2024,ODISHA,10,0.0
2024,ODISHA,11,0.0
2024,ODISHA,12,0.0
2024,NAGALAND,1,0.0
2024,NAGALAND,2,0.0
2024,NAGALAND,3,0.0
2024,NAGALAND,4,0.0
2024,NAGALAND,5,0.0
2024,NAGALAND,6,0.0
2024,NAGALAND,7,0.0
2024,NAGALAND,8,0.0
2024,NAGALAND,9,0.0
2024,NAGALAND,10,6.0
2024,NAGALAND,11,0.0
2024,NAGALAND,12,0.0
2025,KERALA,1,0.0
2025,KERALA,2,0.0
2025,KERALA,3,0.0
2025,KERALA,4,0.0
2025,KERALA,5,0.0
2025,KERALA,6,0.0
2025,KERALA,7,0.0
2025,KERALA,8,0.0
2025,KERALA,9,0.0
2025,KERALA,10,0.0
2025,KERALA,11,0.0
2025,KERALA,12,0.0
2025,ASSAM,1,0.0
2025,ASSAM,2,0.0
2025,ASSAM,3,0.0
2025,ASSAM,4,0.0
2025,ASSAM,5,0.0
2025,ASSAM,6,0.0
2025,ASSAM,7,0.0
2025,ASSAM,8,7.0
2025,ASSAM,9,0.0
2025,ASSAM,10,0.0
2025,ASSAM,11,0.0
2025,ASSAM,12,0.0
2025,MADHYA PRADESH,1,0.0
2025,MADHYA PRADESH,2,0.0
2025,MADHYA PRADESH,3,0.0
2025,MADHYA PRADESH,4,0.0
2025,MADHYA PRADESH,5,0.0
2025,MADHYA PRADESH,6,0.0
2025,MADHYA PRADESH,7,26.0
2025,MADHYA PRADESH,8,0.0
2025,MADHYA PRADESH,9,0.0
2025,MADHYA PRADESH,10,0.0
2025,MADHYA PRADESH,11,0.0
2025,MADHYA PRADESH,12,0.0
2025,KARNATAKA,1,1.0
2025,KARNATAKA,2,0.0
2025,KARNATAKA,3,0.0
2025,KARNATAKA,4,0.0
2025,KARNATAKA,5,0.0
2025,KARNATAKA,6,0.0
2025,KARNATAKA,7,20.0
2025,KARNATAKA,8,0.0
2025,KARNATAKA,9,0.0
2025,KARNATAKA,10,0.0
2025,KARNATAKA,11,0.0
2025,KARNATAKA,12,0.0
2025,UTTAR PRADESH,1,0.0
2025,UTTAR PRADESH,2,0.0
2025,UTTAR PRADESH,3,0.0
2025,UTTAR PRADESH,4,0.0
2025,UTTAR PRADESH,5,14.0
2025,UTTAR PRADESH,6,0.0
2025,UTTAR PRADESH,7,0.0
2025,UTTAR PRADESH,8,0.0
2025,UTTAR PRADESH,9,0.0
2025,UTTAR PRADESH,10,0.0
2025,UTTAR PRADESH,11,0.0
2025,UTTAR PRADESH,12,0.0
2025,MAHARASTRA,1,15.0
2025,MAHARASTRA,2,0.0
2025,MAHARASTRA,3,0.0
2025,MAHARASTRA,4,0.0
2025,MAHARASTRA,5,0.0
2025,MAHARASTRA,6,0.0
2025,MAHARASTRA,7,0.0
2025,MAHARASTRA,8,0.0
2025,MAHARASTRA,9,0.0
2025,MAHARASTRA,10,0.0
2025,MAHARASTRA,11,0.0
2025,MAHARASTRA,12,0.0
2025,TAMIL NADU,1,0.0
2025,TAMIL NADU,2,2.0
2025,TAMIL NADU,3,0.0
2025,TAMIL NADU,4,0.0
2025,TAMIL NADU,5,0.0
2025,TAMIL NADU,6,0.0
2025,TAMIL NADU,7,0.0
2025,TAMIL NADU,8,0.0
2025,TAMIL NADU,9,0.0
2025,TAMIL NADU,10,0.0
2025,TAMIL NADU,11,0.0
2025,TAMIL NADU,12,0.0
2025,ODISHA,1,0.0
2025,ODISHA,2,0.0
2025,ODISHA,3,0.0
2025,ODISHA,4,0.0
2025,ODISHA,5,0.0
2025,ODISHA,6,0.0
2025,ODISHA,7,0.0
2025,ODISHA,8,0.0
2025,ODISHA,9,0.0
2025,ODISHA,10,0.0
2025,ODISHA,11,0.0
2025,ODISHA,12,0.0
2025,NAGALAND,1,0.0
2025,NAGALAND,2,0.0
2025,NAGALAND,3,0.0
2025,NAGALAND,4,0.0
2025,NAGALAND,5,0.0
2025,NAGALAND,6,0.0
2025,NAGALAND,7,0.0
2025,NAGALAND,8,0.0
2025,NAGALAND,9,0.0
2025,NAGALAND,10,0.0
2025,NAGALAND,11,0.0
2025,NAGALAND,12,0.0
